xYear,State,County,Zip,rundatetime,Rx_count_Pat,Rx_count_Pph,Rx_count_Dis,Pat_count,PillCount_Total_Pph,PillCount_Total_Dis,PillCount_Total_Pat,RxCount_Total_Pat,PillCount_Mean_Pat,PatCount_OpBenzo_Pat,MoEquiv_Total_Pph,Schedule2_Rx_Total_Pph,Schedule234Multi_Pat_Total_Pat,PillCount_Schedule234_Rx_Pph,RxCount_Schedule234_Rx_Pph,PillMean_Schedule234_Rx_Pph,PillCount_Schedule2_Rx_Pph,RxCount_Schedule2_Rx_Pph,PillMean_Schedule2_Rx_Pph,RegCount_Pph,RegCount_Dis,PatCount_MultiDisp,PatCount_MultiRxer,InqCount_Pph,InqCount_Dis,PphCount_RxBenzoOpioid,PatCount_Rx90MME,PatCount_Rx40Methadone,Population
2016,CA,Los Angeles,90601,01APR2018:11:21:17,7877,2718,5483,3365,171571,338122,477171,7496,63.7,182,75520,1226,82,8167,131,62.3,154107,2411,63.9,26,17,2,258,624,8026,11,100,0,"31,974"
2016,CA,Los Angeles,90602,01APR2018:11:21:17,6637,23653,14709,2793,1422787,1043629,392539,6359,61.7,1262,893610,11762,71,48024,857,56,1429161,22465,63.6,156,60,2,199,9755,17244,66,1113,35,"25,777"
2016,CA,Los Angeles,90603,01APR2018:11:21:17,7594,5054,7399,2562,252365,572184,450648,7251,62.1,324,172913,2571,73,13170,348,37.8,264955,5228,50.7,49,17,2,190,827,1183,21,181,4,"20,063"
2016,CA,Los Angeles,90604,01APR2018:11:21:17,10510,849,2296,4224,51603,144081,686148,10014,68.5,78,50825,434,108,5031,70,71.9,48636,713,68.2,13,1,2,317,152,0,2,80,8,"39,407"
2016,CA,Los Angeles,90605,01APR2018:11:21:17,9009,6622,2769,4031,321106,222386,555488,8674,64,522,181741,3556,101,23173,431,53.8,358575,7042,50.9,61,25,2,272,3670,7090,26,220,3,"40,331"
2016,CA,Los Angeles,90606,01APR2018:11:21:17,10107,4725,4783,3809,331644,331748,506207,9714,52.1,428,186298,2182,80,19640,307,64,321154,4445,72.3,46,10,4,250,39366,8330,21,304,19,"32,396"
2016,CA,Los Angeles,90607,10SEP2017:10:31:20,128,18,0,57,2535,0,7828,124,63.1,2,1048,15,2,90,3,30,3201,32,100,0,1,0,3,0,0,0,1,0,
2016,CA,Los Angeles,90608,10SEP2017:10:31:20,77,1,0,39,3,0,3933,76,51.8,0,,2,2,0,0,,103,4,25.8,1,0,0,1,0,0,0,0,0,
2016,CA,Los Angeles,90609,10SEP2017:10:31:20,61,0,0,28,0,0,3588,61,58.8,0,,0,1,0,0,,0,0,,0,0,1,3,0,0,0,0,0,
2016,CA,Los Angeles,90610,10SEP2017:10:31:20,35,0,0,17,0,0,1833,35,52.4,0,,0,0,0,0,,0,0,,0,0,0,2,0,0,0,0,0,
2016,CA,Orange,90620,01APR2018:11:21:17,14623,2625,14108,5455,184661,969035,950435,13884,68.5,197,86405,1087,141,7754,159,48.8,170644,2099,81.3,25,39,7,466,151,12049,11,92,2,"45,113"
2016,CA,Orange,90621,01APR2018:11:21:17,7769,1256,1735,3203,57791,143459,478698,7402,64.7,140,38029,635,78,4075,95,42.9,59970,1213,49.4,21,28,2,228,324,4952,10,40,0,"35,153"
2016,CA,Orange,90622,10SEP2017:10:31:20,125,0,0,46,0,0,9209,123,74.9,0,,0,3,0,0,,0,0,,0,0,0,2,0,0,0,0,0,
2016,CA,Orange,90623,01APR2018:11:21:17,3192,16145,12338,1462,1269333,880204,189317,3057,61.9,1002,609799,8639,40,77250,1084,71.3,1385717,16658,83.2,90,43,0,111,5274,2965,45,703,25,"15,554"
2016,CA,Orange,90624,10SEP2017:10:31:20,13,0,0,4,0,0,734,13,56.5,0,,0,0,0,0,,0,0,,0,0,0,2,0,0,0,0,0,
2016,CA,Orange,90630,01APR2018:11:21:17,13584,3351,13042,5349,151121,851351,872854,13004,67.1,384,98531,2271,176,16513,333,49.6,195843,4145,47.2,50,118,1,402,1576,22145,12,101,0,"47,993"
